Order Code,Description,Manufacturer,Manufacturer Part Number,Quantity,Unit Price,Line Total
1574379,"TRANSISTOR, NPN,45V, 500MA, TO-92; Transistor Polarity:NPN; Collector Emitter Voltage V(br)ceo:45V; Transition Frequency ft:100MHz; Power Dissipation Pd:625mW; DC Collector Current:500mA; DC Current Gain hFE:400hFE; Tran ",MULTICOMP,BC337,5,GBP 0.126,GBP 0.63
9451072,"CAP, ALU ELEC, 47UF, 16V, RAD; Capacitance:47µF; Voltage Rating:16V; Product Range:MCGPR Series; Capacitance Tolerance:± 20%; Capacitor Terminals:Radial Leaded; Diameter:5mm; Packaging:Each; Lead Spacing:2mm; Height:11mm ",MULTICOMP,MCGPR16V476M5X11,5,GBP 0.036,GBP 0.18
9343245,"RESISTOR, 0.125W 1% 470R; Resistance:470ohm; Voltage Rating:200V; Resistor Case Style:Axial Leaded; Power Rating:125mW; Resistance Tolerance:± 1%; Product Range:MF12 Series; Resistor Element Material:Metal Film; Temperat ",MULTICOMP,MF12 470R,10,GBP 0.05,GBP 0.5
9343350,"RESISTOR, 0.125W 1% 560R; Resistance:560ohm; Voltage Rating:200V; Resistor Case Style:Axial Leaded; Power Rating:125mW; Resistance Tolerance:± 1%; Product Range:MF12 Series; Resistor Element Material:Metal Film; Temperat ",MULTICOMP,MF12 560R,10,GBP 0.053,GBP 0.53
1653230,CURRENT SENSE RESISTOR; Resistance:0.1ohm; Voltage Rating:-; Resistor Case Style:Axial Leaded; Power Rating:1W; Resistance Tolerance:± 1%; Product Range:LVR01 Series; Resistor Element Material:Wirewound; Temperature Coef ,VISHAY,LVR01R1000FE12,1,GBP 1.62,GBP 1.62
2453442,"MOSFET, N CH, 60V, 32A, TO-220AB-3; Transistor Polarity:N Channel; Continuous Drain Current Id:32A; Drain Source Voltage Vds:60V; On Resistance Rds(on):27mohm; Rds(on) Test Voltage Vgs:10V; Threshold Voltage Vgs:2.5V; Po ",FAIRCHILD SEMICONDUCTOR,FQP30N06L,2,GBP 0.795,GBP 1.59
9846530,"MOSFET, P, -60V, -27A, TO-220; Transistor Polarity:P Channel; Continuous Drain Current Id:-27A; Drain Source Voltage Vds:-60V; On Resistance Rds(on):70mohm; Rds(on) Test Voltage Vgs:-10V; Threshold Voltage Vgs:-4V; Power ",FAIRCHILD SEMICONDUCTOR,FQP27P06,2,GBP 0.86,GBP 1.72
2309763,"CHOKE, 2.2UH, 20%, 7.2A; Product Range:ELC-08D Series; Inductance:2.2µH; RMS Current (Irms):7.2A; Saturation Current (Isat):-; DC Resistance Max:0.01ohm; Inductance Tolerance:± 20%; Packaging:Cut Tape; SVHC:No SVHC (15-J ",PANASONIC ELECTRONIC COMPONENTS,ELC08D2R2E,1,GBP 0.64,GBP 0.64
2309756,"CHOKE, 22UH, 10%, 2.0A; Product Range:ELC-08D Series; Inductance:22µH; RMS Current (Irms):2A; Saturation Current (Isat):-; DC Resistance Max:0.034ohm; Inductance Tolerance:± 10%; Packaging:Cut Tape; SVHC:No SVHC (15-Jun- ",PANASONIC ELECTRONIC COMPONENTS,ELC08D220E,1,GBP 0.77,GBP 0.77
1863151,"DIODE, RECTIF, 40V, 15A, R-6; Repetitive Reverse Voltage Vrrm Max:40V; Forward Current If(AV):15A; Diode Configuration:Single; Diode Case Style:Axial Leaded; No. of Pins:2Pins; Forward Voltage VF Max:550mV; Forward Surge ",TAIWAN SEMICONDUCTOR,SR1504,2,GBP 0.72,GBP 1.44
9557903,"DIODE, ZENER, 5W, 3.3V, 017AA; Zener Voltage Vz Typ:3.3V; Power Dissipation Pd:5W; Diode Case Style:017AA; Zener Tolerance ±:5%; No. of Pins:2Pins; Operating Temperature Max:200¡C; Packaging:Each; Product Range:1N53 Seri ",ON SEMICONDUCTOR,1N5333BG,5,GBP 0.252,GBP 1.26
9451153,"CAP, ALU ELEC, 10UF, 25V, RAD; Capacitance:10µF; Voltage Rating:25V; Product Range:MCGPR Series; Capacitance Tolerance:± 20%; Capacitor Terminals:Radial Leaded; Diameter:5mm; Packaging:Each; Lead Spacing:2mm; Height:11mm ",MULTICOMP,MCGPR25V106M5X11,5,GBP 0.044,GBP 0.22
1097954,"HEADER, PIN, TIN, 36WAY, 1ROW; Product Range:BergStik 77311 Series; No. of Contacts:36Contacts; Gender:Header; Pitch Spacing:2.54mm; Contact Termination Type:Through Hole; No. of Rows:1Rows; Contact Plating:Tin Plated Co ",AMPHENOL FCI,77311-401-36LF,2,GBP 0.685,GBP 1.37
2503759,"STRIPBOARD, FR2, 100X100MM; Board Type:Prototype Board; Board Material:Epoxy Paper; Hole Diameter:1mm; External Height:100mm; External Width:100mm; Board Thickness:1.5mm; Product Range:-; Pitch Spacing:2.54mm ",KEMO ELECTRONIC,E012,2,GBP 1.81,GBP 3.62
